"seed","converged","logLik","grad_norm","hessian_ok","beta0","beta1","beta2","beta3","beta4","beta5","beta6","beta7","beta8","gamma0","gamma1","gamma2","gamma3","gamma4","gamma5","gamma6","gamma7","gamma8"
66,TRUE,-891.714132386618,0.0107826678876998,TRUE,1.45232712334101,0.32861269063203,0.105858147452012,0.393403226283966,0.215298867849554,0.35164604365165,0.320467840790737,0.349164557085383,0.335248513517121,-0.487477931926258,-0.0868576096969262,0.295344814321063,0.14734087929562,0.287362220664331,0.130589777865131,0.0591932335219259,0.1678627066881,0.456569428998732
67,TRUE,-891.714132372505,0.0182832518694221,TRUE,1.45231205925977,0.328594858923794,0.105844433685098,0.393407942268083,0.21529309653954,0.351675412744168,0.320476635723089,0.34915769072112,0.335235380914863,-0.487464944148071,-0.0868536785747375,0.29537807862386,0.14737731838093,0.287324315559154,0.130618256909501,0.0592834286225827,0.167869538443231,0.456561248109948
68,TRUE,-891.714132494453,0.0116121318713834,TRUE,1.45234041892634,0.328632968252209,0.105839733733789,0.393441233002042,0.215229018654192,0.351672568956709,0.32045140490155,0.34915832763052,0.335261542341512,-0.487412362719323,-0.0868554178092304,0.295304076153851,0.147431617591247,0.287215393543245,0.130698239827742,0.0591167450346757,0.167916887373076,0.456546299509761
69,TRUE,-891.714132568222,0.0149732784984281,TRUE,1.45231507319071,0.328617342342531,0.105842915654733,0.393402714297692,0.215255055396331,0.351657680537884,0.320454106616283,0.349181271697557,0.335249076783909,-0.487484492090053,-0.0867733896969684,0.295275202302198,0.147445097087469,0.287148383536218,0.130679386688727,0.0591895640205029,0.167982171160581,0.456461472676177
70,TRUE,-891.71413292851,0.0117137721381841,TRUE,1.45233831975007,0.328620689329674,0.105842633284649,0.393413043816365,0.21526959167888,0.351648337520552,0.320477789460057,0.34914813761774,0.335248033829559,-0.487394354678067,-0.0869184634189454,0.295336081994411,0.147393732451551,0.287207770207345,0.13072578363429,0.0591976013290976,0.16778727657961,0.456602063533478
71,TRUE,-891.714131895658,0.00561774160596818,TRUE,1.45233619034248,0.328631671524101,0.105847695577962,0.393395615556485,0.215279799651279,0.3516454985585,0.320479719677811,0.349164564088472,0.335235223836189,-0.487414751128987,-0.0868246596183433,0.295328699250586,0.147318992024313,0.287318556368988,0.130596305938523,0.0592753949504124,0.167889659686369,0.456488601809776
72,TRUE,-891.714132648051,0.0115112791089987,TRUE,1.45230534233595,0.328622669988363,0.105845311572169,0.393445589222733,0.215266042691673,0.351640816746172,0.320476323605782,0.349175190592491,0.335250613526635,-0.487520629520116,-0.0868278598243828,0.295281772870168,0.147555962841087,0.287287076417431,0.130594670439359,0.0592193914898855,0.167996807408624,0.456503325552486
73,TRUE,-891.714133127052,0.0356144268482957,TRUE,1.45232968760301,0.328641807445289,0.105850769354373,0.393421687055886,0.215266022794065,0.351632066762251,0.320438674618938,0.349123323324407,0.335202166942334,-0.487408860660858,-0.0868407594912359,0.295256120765845,0.147420425692994,0.287243830719645,0.130566560352259,0.0592561611922862,0.167939741483424,0.456462198351561
74,TRUE,-891.714132396364,0.0114607413520812,TRUE,1.45230766021258,0.328634408027661,0.105836063913226,0.39343164717094,0.215265105721936,0.351652584699239,0.320489339641528,0.349170241718338,0.335237307129811,-0.487424956826959,-0.086774040844444,0.295294364810662,0.147402013502719,0.287218852400744,0.130608497533309,0.0592962689637018,0.167945637128857,0.456361091968262
75,TRUE,-891.714132182976,0.016851170549646,TRUE,1.45232604401225,0.328635733413388,0.10584291443869,0.393425247178408,0.215264290056807,0.351640274946493,0.320461594216023,0.349153363998919,0.335219717668348,-0.487497093498149,-0.0868444953070096,0.29530587033542,0.147461376082417,0.287318855049033,0.130631464474526,0.0592526805476422,0.16794433220814,0.456475523656575
76,TRUE,-891.714133404066,0.0290127596030383,TRUE,1.45230621780074,0.328609670966943,0.105846229515774,0.39343869118002,0.215253734178193,0.351650338430246,0.320445858686589,0.349134832381639,0.335231021893298,-0.487358985116354,-0.0868468202869419,0.295305137391221,0.147333365147142,0.287235989660165,0.130468078822703,0.0592779806414016,0.167942878177999,0.456422000906042
